SL,Smiles,Ratio_1,Ratio_2,Er,Tg
1,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(C)(C)N']",0.1,0.9,66.80495,136.21887
2,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(CN)CCCN']",0.6,0.4,33.706516,61.750492
3,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)COCC(C)N']",0.6,0.4,18.629704,62.80866
4,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)N']",0.6,0.4,19.25101,40.096603
5,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.6,0.4,20.995564,40.590813
6,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.1,0.9,83.70981,290.72394
7,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N']",0.1,0.9,31.143274,191.06061
8,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CC1(C)CC(N)CC(C)(CN)C1']",0.1,0.9,12.1537895,44.662907
9,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCC(COCC(C)COCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N']",0.2,0.8,33.097534,56.864334
10,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCC(COCC(C)OCC(C)N)(COCC(C)OCC(C)N)COCC(C)OCC(C)N']",0.3,0.7,41.845814,65.68767
11,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCCCCCCCN']",0.1,0.9,16.691317,89.68014
12,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCCCCN']",0.1,0.9,15.471966,78.29125
13,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCCN']",0.1,0.9,13.555717,57.844505
14,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCCCCCCCCN']",0.1,0.9,12.186874,47.21366
15,"['C1OC1COC3COC4C(OC2CO2)COC34', 'CCc1cc(C)c(N)c(CC)c1N']",0.6,0.4,21.946507,11.979689
16,"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN']",0.1,0.9,23.58621,92.84939
17,"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N']",0.1,0.9,36.815254,139.46751
18,"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.1,0.9,90.97838,302.94046
19,"['C1OC1COC3COC4C(OC2CO2)COC34', 'COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N']",0.1,0.9,88.8688,316.49365
20,"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCCOCCOCCCN']",0.6,0.4,10.971747,30.936102
21,"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCNCCN']",0.6,0.4,141.54332,84.96857
22,"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN']",0.6,0.4,91.18405,70.3109
23,"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCCOCCOCCN']",0.6,0.4,18.490368,43.90525
24,"['C1OC1COC3COC4C(OC2CO2)COC34', 'NCc1cccc(CN)c1']",0.5,0.5,31.870338,17.385332
25,"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc1cccc(N)c1']",0.6,0.4,12.207759,42.488808
26,"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2ccc(Cc1ccc(N)cc1)cc2']",0.1,0.9,14.007746,90.12389
27,"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2ccc(S(=O)(=O)c1ccc(N)cc1)cc2']",0.6,0.4,63.717667,70.31322
28,"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2ccc(SSc1ccc(N)cc1)cc2']",0.1,0.9,29.160137,166.78665
29,"['C1OC1COC3COC4C(OC2CO2)COC34', 'Nc2cccc(S(=O)(=O)c1cccc(N)c1)c2']",0.5,0.5,66.7837,121.6611
30,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OC']",0.3,0.7,20.715328,128.34888
31,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCC(O)COc2ccc(C(C)(C)c1ccc(OCC(O)COC(=O)C(=C)C)cc1)cc2']",0.4,0.6,63.906746,55.113922
32,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCCC']",0.6,0.4,3.7924047,42.06788
33,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,18.294666,41.533737
34,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,20.552418,99.38922
35,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(C)=O']",0.1,0.9,24.60545,127.42638
36,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C', 'C=CC(=O)OC(C)(C)C']",0.1,0.9,24.82269,111.92952
37,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,24.82269,111.92952
38,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,26.517199,125.55687
39,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,30.015045,181.40765
40,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C']",0.1,0.9,32.59838,245.31079
41,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCSC(=O)NCC1(C)CC(NC(=O)SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS)CC(C)(C)C1']",0.3,0.7,29.807796,76.630844
42,"['C=C(C)C(=C)OCOCCOC(=O)C(=C)C', 'C=C(CCS)OCCn1c(=O)n(CCOC(=O)CCS)c(=O)n(CCOC(=O)CCS)c1=O']",0.4,0.6,132.39551,72.798744
